time,Speed Feedback RPM,Current FB Amps,Torque Feedback % Of Rated,Armature Volts,Field Amps,Armature Firing Angle (Deg) Angle that Voltage waveform fired upon for pulses,Armature Current Reference in Amps,Field Current Reference in Amps,Field Firing Angle in Degrees,Speed Reference in RPM,Incoming AC Line Voltage,RMS Model of Motor Heating 0-100% of Trip Level,Field Voltage in Volts,Roll RPM - After Gear Ratio of machine
07.03.2013 05:13:17.663821,510.686,77.9876,0.537129,449.129,68.7187,52.6049,110.774,69.5518,82.2727,511.1,658.217,51.4167,27.9604,119.907
07.03.2013 05:13:17.763821,511.893,209.479,1.45675,450.018,70.634,74.9506,85.1263,69.2553,82.0111,511.1,657.609,51.3993,29.1103,120.19
07.03.2013 05:13:17.863821,512.058,195.237,1.35095,448.928,69.2388,61.6415,174.891,68.2833,82.7866,511.1,657.587,51.3789,27.1261,120.229
07.03.2013 05:13:17.963821,509.861,87.4865,0.602236,445.468,69.5708,47.3035,292.734,72.0427,83.8065,511.1,657.424,51.3708,26.1274,119.713
07.03.2013 05:13:18.063821,511.591,135.118,0.932994,443.934,69.5838,58.6427,32.2274,70.4657,82.4108,511.1,657.308,51.3504,30.6302,120.12
07.03.2013 05:13:18.163821,511.045,81.2196,0.557472,446.051,70.3081,59.4287,65.8389,71.0931,82.6648,511.1,657.758,51.3301,29.6508,119.991
07.03.2013 05:13:18.263821,510.904,241.706,1.66835,447.739,70.1316,52.8442,192.389,70.3888,82.7545,511.1,657.723,51.3179,28.9125,119.958
07.03.2013 05:13:18.363821,510.862,235.115,1.62664,451.456,68.699,51.6449,199.306,70.1196,82.9596,511.1,657.274,51.3016,30.1485,119.948
07.03.2013 05:13:18.463821,511.356,143.698,0.989676,447.493,68.4969,87.1232,75.7557,68.2675,82.0051,511.1,657.546,51.2877,29.712,120.064
07.03.2013 05:13:18.563821,511.362,206.386,1.42725,447.832,69.7159,97.749,199.958,69.5903,83.0255,511.1,658.093,51.2721,29.2454,120.066
07.03.2013 05:13:18.663821,512.259,231.371,1.6012,449.847,69.7847,79.5667,176.682,69.8161,82.4689,511.1,657.132,51.2426,30.2078,120.276
07.03.2013 05:13:18.763821,511.368,241.218,1.67038,448.394,69.2314,45.9137,340.831,69.2104,81.3116,511.1,656.655,51.2223,31.9712,120.067
07.03.2013 05:13:18.863821,512.151,247.427,1.7099,448.787,70.5119,57.2976,107.425,67.5792,82.6721,511.1,656.63,51.2083,28.5481,120.251
07.03.2013 05:13:18.963821,511.222,52.8988,0.364182,448.109,69.1357,59.8224,80.8942,68.5495,82.3572,511.1,657.523,51.1978,30.1584,120.033
07.03.2013 05:13:19.063821,510.276,112.959,0.782295,446.393,69.7548,50.04,242.52,70.8973,82.7884,511.1,657.623,51.1734,28.9718,119.811
07.03.2013 05:13:19.163821,511.521,174.322,1.20547,447.896,70.0434,49.8065,235.603,71.6091,82.5815,511.1,657.189,51.1612,29.7628,120.103
07.03.2013 05:13:19.263821,511.23,150.395,1.03763,448.805,69.3339,110.601,153.255,70.2004,83.1037,511.1,656.99,51.1455,24.4346,120.035
07.03.2013 05:13:19.363821,511.96,188.482,1.30619,444.777,68.6481,94.2078,136.723,68.868,83.5428,511.1,656.334,51.1246,24.5123,120.206
07.03.2013 05:13:19.463821,511.997,293.466,2.03558,448.344,70.7881,45.7855,263.191,67.8272,83.1665,511.1,656.227,51.1124,27.3898,120.215
07.03.2013 05:13:19.563821,511.002,104.007,0.720235,446.301,68.9562,82.5385,132.654,70.7806,83.0786,511.1,655.871,51.1002,27.2184,119.981
07.03.2013 05:13:19.663821,511.958,169.299,1.17191,449.556,68.852,66.6737,141.676,70.7208,82.8605,511.1,656.758,51.0793,28.1695,120.206
07.03.2013 05:13:19.763821,512.619,5.85938,0.0457764,449.605,70.8554,63.7729,-94.9736,68.5091,81.5762,511.1,657.723,51.0514,29.5651,120.361
07.03.2013 05:13:19.863821,511.985,-20.1012,-0.135297,441.672,69.1955,92.3154,-67.0594,70.993,82.7179,511.1,657.602,51.0514,26.5724,120.212
